Table,Ticker
XOM,XOM
ABC,ABC
T,T
GOOGL,GOOGL
COST,COST
CI,CI
CAH,CAH
MSFT,MSFT
F,F
VZ,VZ
GM,GM
CVX,CVX
DELL,DELL
GE,GE
VLO,VLO
PSX,PSX
JNJ,JNJ
INTC,INTC
UPS,UPS
IBM,IBM
FB,FB
PG,PG
DIS,DIS
BA,BA
FDX,FDX
PEP,PEP
RTX,RTX
ADM,ADM
LMT,LMT
HPQ,HPQ
CSCO,CSCO
PFE,PFE
BUD,BUD
MRK,MRK
CAT,CAT
ACN,ACN
TSN,TSN
BG,BG
ORCL,ORCL
GD,GD
NKE,NKE
TJX,TJX
DE,DE
ABBV,ABBV
BMY,BMY
NOC,NOC
HON,HON
KO,KO
VIAC,VIAC
ABT,ABT
MMM,MMM
CHSCP,CHSCP
INT,INT
PM,PM
MDT,MDT
ARW,ARW
HPE,HPE
TMO,TMO
MDLZ,MDLZ
TSLA,TSLA
KHC,KHC
AMGN,AMGN
COP,COP
SBUX,SBUX
SNX,SNX
LLY,LLY
V,V
JCI,JCI
NFLX,NFLX
BKR,BKR
GILD,GILD
CTL,CTL
CUK,CUK
PCAR,PCAR
DD,DD
PAG,PAG
MU,MU
AMZN,AMZN
AAPL,AAPL
