symbol,name,exchange,date,type,region,currency,isEnabled
BTCUSD,Bitcoin to USD,,04/23/2021,crypto,US,USD,TRUE
ETHUSD,Ethereum to USD,,04/23/2021,crypto,US,USD,TRUE
ETHBTC,Ethereum to Bitcoin,,04/23/2021,crypto,US,BTC,TRUE
ZECUSD,Zcash to USD,,04/23/2021,crypto,US,USD,TRUE
ZECBTC,Zcash to Bitcoin,,04/23/2021,crypto,US,BTC,TRUE
ZECETH,Zcash to Ethereum,,04/23/2021,crypto,US,ETH,TRUE
ZECBCH,Zcash to Bitcoin Cash,,04/23/2021,crypto,US,BCH,TRUE
ZECLTC,Zcash to Litecoin,,04/23/2021,crypto,US,LTC,TRUE
BCHUSD,Bitcoin Cash to USD,,04/23/2021,crypto,US,USD,TRUE
BCHBTC,Bitcoin Cash to Bitcoin,,04/23/2021,crypto,US,BTC,TRUE
BCHETH,Bitcoin Cash to Ethereum,,04/23/2021,crypto,US,ETH,TRUE
LTCUSD,Litecoin to USD,,04/23/2021,crypto,US,USD,TRUE
LTCBTC,Litecoin to Bitcoin,,04/23/2021,crypto,US,BTC,TRUE
LTCETH,Litecoin to Ethereum,,04/23/2021,crypto,US,ETH,TRUE
LTCBCH,Litecoin to Bitcoin Cash,,04/23/2021,crypto,US,BCH,TRUE
BNBBTC,BNB to BTC,,04/23/2021,crypto,US,BTC,TRUE
NEOBTC,NEO to BTC,,04/23/2021,crypto,US,BTC,TRUE
QTUMETH,QTUM to ETH,,04/23/2021,crypto,US,ETH,TRUE
EOSETH,EOS to ETH,,04/23/2021,crypto,US,ETH,TRUE
SNTETH,SNT to ETH,,04/23/2021,crypto,US,ETH,TRUE
BNTETH,BNT to ETH,,04/23/2021,crypto,US,ETH,TRUE
BCCBTC,BCC to BTC,,04/23/2021,crypto,US,BTC,TRUE
GASBTC,GAS to BTC,,04/23/2021,crypto,US,BTC,TRUE
BNBETH,BNB to ETH,,04/23/2021,crypto,US,ETH,TRUE
BTCUSDT,BTC to USDT,,04/23/2021,crypto,US,USDT,TRUE
ETHUSDT,ETH to USDT,,04/23/2021,crypto,US,USDT,TRUE
HSRBTC,HSR to BTC,,04/23/2021,crypto,US,BTC,TRUE
OAXETH,OAX to ETH,,04/23/2021,crypto,US,ETH,TRUE
DNTETH,DNT to ETH,,04/23/2021,crypto,US,ETH,TRUE
MCOETH,MCO to ETH,,04/23/2021,crypto,US,ETH,TRUE
ICNETH,ICN to ETH,,04/23/2021,crypto,US,ETH,TRUE
MCOBTC,MCO to BTC,,04/23/2021,crypto,US,BTC,TRUE
WTCBTC,WTC to BTC,,04/23/2021,crypto,US,BTC,TRUE
WTCETH,WTC to ETH,,04/23/2021,crypto,US,ETH,TRUE
LRCBTC,LRC to BTC,,04/23/2021,crypto,US,BTC,TRUE
LRCETH,LRC to ETH,,04/23/2021,crypto,US,ETH,TRUE
QTUMBTC,QTUM to BTC,,04/23/2021,crypto,US,BTC,TRUE
YOYOBTC,YOYO to BTC,,04/23/2021,crypto,US,BTC,TRUE
OMGBTC,OMG to BTC,,04/23/2021,crypto,US,BTC,TRUE
OMGETH,OMG to ETH,,04/23/2021,crypto,US,ETH,TRUE
ZRXBTC,ZRX to BTC,,04/23/2021,crypto,US,BTC,TRUE
ZRXETH,ZRX to ETH,,04/23/2021,crypto,US,ETH,TRUE
STRATBTC,STRAT to BTC,,04/23/2021,crypto,US,BTC,TRUE
STRATETH,STRAT to ETH,,04/23/2021,crypto,US,ETH,TRUE
SNGLSBTC,SNGLS to BTC,,04/23/2021,crypto,US,BTC,TRUE
SNGLSETH,SNGLS to ETH,,04/23/2021,crypto,US,ETH,TRUE
BQXBTC,BQX to BTC,,04/23/2021,crypto,US,BTC,TRUE
BQXETH,BQX to ETH,,04/23/2021,crypto,US,ETH,TRUE
KNCBTC,KNC to BTC,,04/23/2021,crypto,US,BTC,TRUE
KNCETH,KNC to ETH,,04/23/2021,crypto,US,ETH,TRUE
FUNBTC,FUN to BTC,,04/23/2021,crypto,US,BTC,TRUE
FUNETH,FUN to ETH,,04/23/2021,crypto,US,ETH,TRUE
SNMBTC,SNM to BTC,,04/23/2021,crypto,US,BTC,TRUE
SNMETH,SNM to ETH,,04/23/2021,crypto,US,ETH,TRUE
NEOETH,NEO to ETH,,04/23/2021,crypto,US,ETH,TRUE
IOTABTC,IOTA to BTC,,04/23/2021,crypto,US,BTC,TRUE
IOTAETH,IOTA to ETH,,04/23/2021,crypto,US,ETH,TRUE
LINKBTC,LINK to BTC,,04/23/2021,crypto,US,BTC,TRUE
LINKETH,LINK to ETH,,04/23/2021,crypto,US,ETH,TRUE
XVGBTC,XVG to BTC,,04/23/2021,crypto,US,BTC,TRUE
XVGETH,XVG to ETH,,04/23/2021,crypto,US,ETH,TRUE
SALTBTC,SALT to BTC,,04/23/2021,crypto,US,BTC,TRUE
SALTETH,SALT to ETH,,04/23/2021,crypto,US,ETH,TRUE
MDABTC,MDA to BTC,,04/23/2021,crypto,US,BTC,TRUE
MDAETH,MDA to ETH,,04/23/2021,crypto,US,ETH,TRUE
MTLBTC,MTL to BTC,,04/23/2021,crypto,US,BTC,TRUE
MTLETH,MTL to ETH,,04/23/2021,crypto,US,ETH,TRUE
SUBBTC,SUB to BTC,,04/23/2021,crypto,US,BTC,TRUE
SUBETH,SUB to ETH,,04/23/2021,crypto,US,ETH,TRUE
EOSBTC,EOS to BTC,,04/23/2021,crypto,US,BTC,TRUE
SNTBTC,SNT to BTC,,04/23/2021,crypto,US,BTC,TRUE
ETCETH,ETC to ETH,,04/23/2021,crypto,US,ETH,TRUE
